"GEOID","NAME","variable","estimate","moe"
"01001","Autauga County, Alabama","B25001_001",25039,34
"01003","Baldwin County, Alabama","B25001_001",132258,70
"01005","Barbour County, Alabama","B25001_001",11762,56
"01007","Bibb County, Alabama","B25001_001",9133,98
"01009","Blount County, Alabama","B25001_001",24918,39
"01011","Bullock County, Alabama","B25001_001",4579,39
"01013","Butler County, Alabama","B25001_001",9885,49
"01015","Calhoun County, Alabama","B25001_001",53361,67
"01017","Chambers County, Alabama","B25001_001",16435,28
"01019","Cherokee County, Alabama","B25001_001",14702,44
"01021","Chilton County, Alabama","B25001_001",19839,36
"01023","Choctaw County, Alabama","B25001_001",7200,20
"01025","Clarke County, Alabama","B25001_001",11749,26
"01027","Clay County, Alabama","B25001_001",7106,23
"01029","Cleburne County, Alabama","B25001_001",6874,21
"01031","Coffee County, Alabama","B25001_001",24656,55
"01033","Colbert County, Alabama","B25001_001",28040,44
"01035","Conecuh County, Alabama","B25001_001",6444,26
"01037","Coosa County, Alabama","B25001_001",6058,21
"01039","Covington County, Alabama","B25001_001",18714,40
"01041","Crenshaw County, Alabama","B25001_001",6583,29
"01043","Cullman County, Alabama","B25001_001",39871,53
"01045","Dale County, Alabama","B25001_001",22968,61
"01047","Dallas County, Alabama","B25001_001",18936,26
"01049","DeKalb County, Alabama","B25001_001",30963,79
"01051","Elmore County, Alabama","B25001_001",37323,90
"01053","Escambia County, Alabama","B25001_001",16816,40
"01055","Etowah County, Alabama","B25001_001",47603,49
"01057","Fayette County, Alabama","B25001_001",7810,23
"01059","Franklin County, Alabama","B25001_001",14002,31
"01061","Geneva County, Alabama","B25001_001",12584,52
"01063","Greene County, Alabama","B25001_001",4279,21
"01065","Hale County, Alabama","B25001_001",7594,23
"01067","Henry County, Alabama","B25001_001",9215,35
"01069","Houston County, Alabama","B25001_001",50158,164
"01071","Jackson County, Alabama","B25001_001",24914,82
"01073","Jefferson County, Alabama","B25001_001",310789,255
"01075","Lamar County, Alabama","B25001_001",7123,30
"01077","Lauderdale County, Alabama","B25001_001",44936,82
"01079","Lawrence County, Alabama","B25001_001",15403,28
"01081","Lee County, Alabama","B25001_001",79619,68
"01083","Limestone County, Alabama","B25001_001",44354,79
"01085","Lowndes County, Alabama","B25001_001",4847,18
"01087","Macon County, Alabama","B25001_001",9653,70
"01089","Madison County, Alabama","B25001_001",178607,187
"01091","Marengo County, Alabama","B25001_001",9867,20
"01093","Marion County, Alabama","B25001_001",14220,35
"01095","Marshall County, Alabama","B25001_001",41762,115
"01097","Mobile County, Alabama","B25001_001",186082,135
"01099","Monroe County, Alabama","B25001_001",10208,45
"01101","Montgomery County, Alabama","B25001_001",106121,80
"01103","Morgan County, Alabama","B25001_001",53905,128
"01105","Perry County, Alabama","B25001_001",3962,19
"01107","Pickens County, Alabama","B25001_001",8729,56
"01109","Pike County, Alabama","B25001_001",16238,38
"01111","Randolph County, Alabama","B25001_001",12505,42
"01113","Russell County, Alabama","B25001_001",27711,31
"01115","St. Clair County, Alabama","B25001_001",39247,52
"01117","Shelby County, Alabama","B25001_001",91995,100
"01119","Sumter County, Alabama","B25001_001",6356,99
"01121","Talladega County, Alabama","B25001_001",38547,64
"01123","Tallapoosa County, Alabama","B25001_001",23161,37
"01125","Tuscaloosa County, Alabama","B25001_001",104290,217
"01127","Walker County, Alabama","B25001_001",30366,43
"01129","Washington County, Alabama","B25001_001",7797,19
"01131","Wilcox County, Alabama","B25001_001",5334,26
"01133","Winston County, Alabama","B25001_001",13160,25
"02013","Aleutians East Borough, Alaska","B25001_001",1245,110
"02016","Aleutians West Census Area, Alaska","B25001_001",1356,80
"02020","Anchorage Municipality, Alaska","B25001_001",120348,946
"02050","Bethel Census Area, Alaska","B25001_001",6011,43
"02060","Bristol Bay Borough, Alaska","B25001_001",798,41
"02063","Chugach Census Area, Alaska","B25001_001",3922,144
"02066","Copper River Census Area, Alaska","B25001_001",2442,121
"02068","Denali Borough, Alaska","B25001_001",1301,69
"02070","Dillingham Census Area, Alaska","B25001_001",2399,32
"02090","Fairbanks North Star Borough, Alaska","B25001_001",42680,799
"02100","Haines Borough, Alaska","B25001_001",1379,117
"02105","Hoonah-Angoon Census Area, Alaska","B25001_001",1753,100
"02110","Juneau City and Borough, Alaska","B25001_001",14249,38
"02122","Kenai Peninsula Borough, Alaska","B25001_001",32836,102
"02130","Ketchikan Gateway Borough, Alaska","B25001_001",6698,37
"02150","Kodiak Island Borough, Alaska","B25001_001",5854,104
"02158","Kusilvak Census Area, Alaska","B25001_001",2346,31
"02164","Lake and Peninsula Borough, Alaska","B25001_001",1336,54
"02170","Matanuska-Susitna Borough, Alaska","B25001_001",51170,110
"02180","Nome Census Area, Alaska","B25001_001",4102,32
"02185","North Slope Borough, Alaska","B25001_001",2642,107
"02188","Northwest Arctic Borough, Alaska","B25001_001",2744,38
"02195","Petersburg Borough, Alaska","B25001_001",1863,119
"02198","Prince of Wales-Hyder Census Area, Alaska","B25001_001",3250,99
"02220","Sitka City and Borough, Alaska","B25001_001",4161,30
"02230","Skagway Municipality, Alaska","B25001_001",666,65
"02240","Southeast Fairbanks Census Area, Alaska","B25001_001",3515,120
"02275","Wrangell City and Borough, Alaska","B25001_001",1303,85
"02282","Yakutat City and Borough, Alaska","B25001_001",398,50
"02290","Yukon-Koyukuk Census Area, Alaska","B25001_001",3724,367
"04001","Apache County, Arizona","B25001_001",28997,87
"04003","Cochise County, Arizona","B25001_001",59666,115
"04005","Coconino County, Arizona","B25001_001",70645,156
"04007","Gila County, Arizona","B25001_001",32742,46
"04009","Graham County, Arizona","B25001_001",14122,37
"04011","Greenlee County, Arizona","B25001_001",4433,14
"04012","La Paz County, Arizona","B25001_001",13672,127
"04013","Maricopa County, Arizona","B25001_001",1884334,536
"04015","Mohave County, Arizona","B25001_001",121881,136
"04017","Navajo County, Arizona","B25001_001",57230,81
"04019","Pima County, Arizona","B25001_001",479939,359
"04021","Pinal County, Arizona","B25001_001",184651,196
"04023","Santa Cruz County, Arizona","B25001_001",19232,52
"04025","Yavapai County, Arizona","B25001_001",126095,213
"04027","Yuma County, Arizona","B25001_001",95200,127
"05001","Arkansas County, Arkansas","B25001_001",8696,24
"05003","Ashley County, Arkansas","B25001_001",9392,23
"05005","Baxter County, Arkansas","B25001_001",22883,61
"05007","Benton County, Arkansas","B25001_001",122703,147
"05009","Boone County, Arkansas","B25001_001",17459,34
"05011","Bradley County, Arkansas","B25001_001",5060,29
"05013","Calhoun County, Arkansas","B25001_001",2466,32
"05015","Carroll County, Arkansas","B25001_001",13957,26
"05017","Chicot County, Arkansas","B25001_001",5108,37
"05019","Clark County, Arkansas","B25001_001",10029,31
"05021","Clay County, Arkansas","B25001_001",7492,24
"05023","Cleburne County, Arkansas","B25001_001",15667,73
"05025","Cleveland County, Arkansas","B25001_001",3587,18
"05027","Columbia County, Arkansas","B25001_001",11030,53
