"GEOID","NAME","variable","estimate","moe"
"01001","Autauga County, Alabama","B01003_001",59947,NA
"01003","Baldwin County, Alabama","B01003_001",246989,NA
"01005","Barbour County, Alabama","B01003_001",24643,NA
"01007","Bibb County, Alabama","B01003_001",22130,NA
"01009","Blount County, Alabama","B01003_001",59518,NA
"01011","Bullock County, Alabama","B01003_001",10058,NA
"01013","Butler County, Alabama","B01003_001",18630,NA
"01015","Calhoun County, Alabama","B01003_001",116090,NA
"01017","Chambers County, Alabama","B01003_001",34192,NA
"01019","Cherokee County, Alabama","B01003_001",25443,NA
"01021","Chilton County, Alabama","B01003_001",45992,NA
"01023","Choctaw County, Alabama","B01003_001",12380,NA
"01025","Clarke County, Alabama","B01003_001",22543,NA
"01027","Clay County, Alabama","B01003_001",14192,NA
"01029","Cleburne County, Alabama","B01003_001",15426,NA
"01031","Coffee County, Alabama","B01003_001",54920,NA
"01033","Colbert County, Alabama","B01003_001",58022,NA
"01035","Conecuh County, Alabama","B01003_001",11275,NA
"01037","Coosa County, Alabama","B01003_001",10300,NA
"01039","Covington County, Alabama","B01003_001",37628,NA
"01041","Crenshaw County, Alabama","B01003_001",13122,NA
"01043","Cullman County, Alabama","B01003_001",90566,NA
"01045","Dale County, Alabama","B01003_001",49599,NA
"01047","Dallas County, Alabama","B01003_001",36858,NA
"01049","DeKalb County, Alabama","B01003_001",72269,NA
"01051","Elmore County, Alabama","B01003_001",89526,NA
"01053","Escambia County, Alabama","B01003_001",36629,NA
"01055","Etowah County, Alabama","B01003_001",103105,NA
"01057","Fayette County, Alabama","B01003_001",16053,NA
"01059","Franklin County, Alabama","B01003_001",31966,NA
"01061","Geneva County, Alabama","B01003_001",26887,NA
"01063","Greene County, Alabama","B01003_001",7424,NA
"01065","Hale County, Alabama","B01003_001",14829,NA
"01067","Henry County, Alabama","B01003_001",17647,NA
"01069","Houston County, Alabama","B01003_001",108140,NA
"01071","Jackson County, Alabama","B01003_001",53053,NA
"01073","Jefferson County, Alabama","B01003_001",667755,NA
"01075","Lamar County, Alabama","B01003_001",13693,NA
"01077","Lauderdale County, Alabama","B01003_001",95830,NA
"01079","Lawrence County, Alabama","B01003_001",33276,NA
"01081","Lee County, Alabama","B01003_001",181134,NA
"01083","Limestone County, Alabama","B01003_001",111233,NA
"01085","Lowndes County, Alabama","B01003_001",9833,NA
"01087","Macon County, Alabama","B01003_001",18691,NA
"01089","Madison County, Alabama","B01003_001",405718,NA
"01091","Marengo County, Alabama","B01003_001",18851,NA
"01093","Marion County, Alabama","B01003_001",29184,NA
"01095","Marshall County, Alabama","B01003_001",99748,NA
"01097","Mobile County, Alabama","B01003_001",412590,NA
"01099","Monroe County, Alabama","B01003_001",19388,NA
"01101","Montgomery County, Alabama","B01003_001",226718,NA
"01103","Morgan County, Alabama","B01003_001",124471,NA
"01105","Perry County, Alabama","B01003_001",8031,NA
"01107","Pickens County, Alabama","B01003_001",18721,NA
"01109","Pike County, Alabama","B01003_001",32987,NA
"01111","Randolph County, Alabama","B01003_001",22510,NA
"01113","Russell County, Alabama","B01003_001",58811,NA
"01115","St. Clair County, Alabama","B01003_001",94166,NA
"01117","Shelby County, Alabama","B01003_001",230211,NA
"01119","Sumter County, Alabama","B01003_001",11878,NA
"01121","Talladega County, Alabama","B01003_001",81021,NA
"01123","Tallapoosa County, Alabama","B01003_001",40938,NA
"01125","Tuscaloosa County, Alabama","B01003_001",237552,NA
"01127","Walker County, Alabama","B01003_001",64841,NA
"01129","Washington County, Alabama","B01003_001",15143,NA
"01131","Wilcox County, Alabama","B01003_001",10172,NA
"01133","Winston County, Alabama","B01003_001",23682,NA
"02013","Aleutians East Borough, Alaska","B01003_001",3491,NA
"02016","Aleutians West Census Area, Alaska","B01003_001",5235,NA
"02020","Anchorage Municipality, Alaska","B01003_001",288976,NA
"02050","Bethel Census Area, Alaska","B01003_001",18394,NA
"02060","Bristol Bay Borough, Alaska","B01003_001",918,88
"02063","Chugach Census Area, Alaska","B01003_001",6862,NA
"02066","Copper River Census Area, Alaska","B01003_001",2626,NA
"02068","Denali Borough, Alaska","B01003_001",1969,81
"02070","Dillingham Census Area, Alaska","B01003_001",4724,NA
"02090","Fairbanks North Star Borough, Alaska","B01003_001",95460,NA
"02100","Haines Borough, Alaska","B01003_001",2086,NA
"02105","Hoonah-Angoon Census Area, Alaska","B01003_001",2311,NA
"02110","Juneau City and Borough, Alaska","B01003_001",31794,NA
"02122","Kenai Peninsula Borough, Alaska","B01003_001",60413,NA
"02130","Ketchikan Gateway Borough, Alaska","B01003_001",13768,NA
"02150","Kodiak Island Borough, Alaska","B01003_001",12771,NA
"02158","Kusilvak Census Area, Alaska","B01003_001",8176,NA
"02164","Lake and Peninsula Borough, Alaska","B01003_001",1013,81
"02170","Matanuska-Susitna Borough, Alaska","B01003_001",112988,NA
"02180","Nome Census Area, Alaska","B01003_001",9866,NA
"02185","North Slope Borough, Alaska","B01003_001",10810,NA
"02188","Northwest Arctic Borough, Alaska","B01003_001",7441,NA
"02195","Petersburg Borough, Alaska","B01003_001",3409,NA
"02198","Prince of Wales-Hyder Census Area, Alaska","B01003_001",5715,NA
"02220","Sitka City and Borough, Alaska","B01003_001",8368,NA
"02230","Skagway Municipality, Alaska","B01003_001",1244,102
"02240","Southeast Fairbanks Census Area, Alaska","B01003_001",7068,NA
"02275","Wrangell City and Borough, Alaska","B01003_001",2088,NA
"02282","Yakutat City and Borough, Alaska","B01003_001",527,63
"02290","Yukon-Koyukuk Census Area, Alaska","B01003_001",5195,NA
"04001","Apache County, Arizona","B01003_001",65341,NA
"04003","Cochise County, Arizona","B01003_001",125566,NA
"04005","Coconino County, Arizona","B01003_001",144508,NA
"04007","Gila County, Arizona","B01003_001",53795,NA
"04009","Graham County, Arizona","B01003_001",39232,NA
"04011","Greenlee County, Arizona","B01003_001",9409,NA
"04012","La Paz County, Arizona","B01003_001",16664,NA
"04013","Maricopa County, Arizona","B01003_001",4559748,NA
"04015","Mohave County, Arizona","B01003_001",220517,NA
"04017","Navajo County, Arizona","B01003_001",108415,NA
"04019","Pima County, Arizona","B01003_001",1060490,NA
"04021","Pinal County, Arizona","B01003_001",469006,NA
"04023","Santa Cruz County, Arizona","B01003_001",48926,NA
"04025","Yavapai County, Arizona","B01003_001",245480,NA
"04027","Yuma County, Arizona","B01003_001",211741,NA
"05001","Arkansas County, Arkansas","B01003_001",16515,NA
"05003","Ashley County, Arkansas","B01003_001",18429,NA
"05005","Baxter County, Arkansas","B01003_001",42407,NA
