"GEOID","NAME","variable","estimate","moe"
"01001","Autauga County, Alabama","B25077_001",207200,7252
"01003","Baldwin County, Alabama","B25077_001",316900,7217
"01005","Barbour County, Alabama","B25077_001",112900,12192
"01007","Bibb County, Alabama","B25077_001",145700,13226
"01009","Blount County, Alabama","B25077_001",175200,7515
"01011","Bullock County, Alabama","B25077_001",81700,17694
"01013","Butler County, Alabama","B25077_001",99800,7938
"01015","Calhoun County, Alabama","B25077_001",156600,5832
"01017","Chambers County, Alabama","B25077_001",135800,16978
"01019","Cherokee County, Alabama","B25077_001",179700,15464
"01021","Chilton County, Alabama","B25077_001",161300,10065
"01023","Choctaw County, Alabama","B25077_001",123400,19120
"01025","Clarke County, Alabama","B25077_001",121700,8732
"01027","Clay County, Alabama","B25077_001",156700,17782
"01029","Cleburne County, Alabama","B25077_001",165600,13424
"01031","Coffee County, Alabama","B25077_001",188600,7326
"01033","Colbert County, Alabama","B25077_001",171000,6321
"01035","Conecuh County, Alabama","B25077_001",105300,10972
"01037","Coosa County, Alabama","B25077_001",115500,15070
"01039","Covington County, Alabama","B25077_001",152100,9043
"01041","Crenshaw County, Alabama","B25077_001",114000,15677
"01043","Cullman County, Alabama","B25077_001",199100,9727
"01045","Dale County, Alabama","B25077_001",143500,11393
"01047","Dallas County, Alabama","B25077_001",94600,5382
"01049","DeKalb County, Alabama","B25077_001",152700,5889
"01051","Elmore County, Alabama","B25077_001",223900,7157
"01053","Escambia County, Alabama","B25077_001",136500,10527
"01055","Etowah County, Alabama","B25077_001",167100,4938
"01057","Fayette County, Alabama","B25077_001",125900,14825
"01059","Franklin County, Alabama","B25077_001",136000,14425
"01061","Geneva County, Alabama","B25077_001",130700,12061
"01063","Greene County, Alabama","B25077_001",81200,23211
"01065","Hale County, Alabama","B25077_001",127600,20454
"01067","Henry County, Alabama","B25077_001",161000,11913
"01069","Houston County, Alabama","B25077_001",183300,3668
"01071","Jackson County, Alabama","B25077_001",159500,7041
"01073","Jefferson County, Alabama","B25077_001",240000,4979
"01075","Lamar County, Alabama","B25077_001",114000,7350
"01077","Lauderdale County, Alabama","B25077_001",200300,8371
"01079","Lawrence County, Alabama","B25077_001",172300,13009
"01081","Lee County, Alabama","B25077_001",262200,6835
"01083","Limestone County, Alabama","B25077_001",281000,9732
